Index,STNAME,CTYNAME,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,"Less than a high school diploma, 2009-2013","High school diploma only, 2009-2013","Some college or associate's degree, 2009-2013","Bachelor's degree or higher, 2009-2013","Percent of adults with less than a high school diploma, 2009-2013","Percent of adults with a high school diploma only, 2009-2013","Percent of adults completing some college or associate's degree, 2009-2013","Percent of adults with a bachelor's degree or higher, 2009-2013",Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Median_Household_Income_2013
Virginia-King William County,Virginia,King William County,51,101,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,"1,156","4,386","3,238","2,092",11,40,30,19,"8,718","8,227",491,6,"8,828","8,371",457,5,"61,183"
Virginia-Lancaster County,Virginia,Lancaster County,51,103,0,0,0,0,0,0,0,4,5,0,0,0,0,0,1,"1,072","2,676","2,618","2,513",12,30,29,28,"5,412","5,006",406,8,"5,416","5,006",410,8,"46,578"
Virginia-Lee County,Virginia,Lee County,51,105,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"4,763","6,095","5,441","2,156",26,33,29,12,"9,330","8,508",822,9,"8,902","8,173",729,8,"32,092"
Virginia-Loudoun County,Virginia,Loudoun County,51,107,61,55,65,65,72,106,109,290,230,201,221,261,219,167,193,"12,853","29,399","45,033","119,963",6,14,22,58,"191,444","183,107","8,337",4,"192,351","184,269","8,082",4,"117,680"
Virginia-Louisa County,Virginia,Louisa County,51,109,0,0,1,0,2,0,0,1,1,0,4,9,4,5,7,"4,175","9,444","5,789","4,479",17,40,24,19,"18,090","17,067","1,023",6,"18,515","17,578",937,5,"53,170"
Virginia-Lunenburg County,Virginia,Lunenburg County,51,111,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,"2,850","3,138","2,126","1,094",31,34,23,12,"5,343","4,962",381,7,"5,378","5,058",320,6,"37,712"
Virginia-Madison County,Virginia,Madison County,51,113,1,0,0,0,0,1,0,0,0,3,1,4,8,6,5,"1,906","3,101","2,355","2,051",20,33,25,22,"7,240","6,918",322,4,"7,309","7,015",294,4,"51,805"
Virginia-Mathews County,Virginia,Mathews County,51,115,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,773,"2,380","1,873","1,874",11,34,27,27,"4,172","3,961",211,5,"4,177","3,983",194,5,"55,128"
Virginia-Mecklenburg County,Virginia,Mecklenburg County,51,117,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,"5,451","8,320","6,561","3,235",23,35,28,14,"12,813","11,615","1,198",9,"12,679","11,697",982,8,"38,439"
Virginia-Middlesex County,Virginia,Middlesex County,51,119,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,927,"2,516","2,661","2,300",11,30,32,27,"5,125","4,842",283,6,"5,066","4,809",257,5,"47,399"
